Date,eindend,vindend
19740717,67.161903,70.954308
19740724,69.222122,72.342651
19740731,66.729759,67.678688
19740807,68.439262,70.528839
19740814,66.862122,65.925529
19740821,64.508614,63.224899
19740828,61.224998,60.805691
19740904,59.083481,58.956501
19740911,58.300819,58.774509
19740918,57.015381,58.07605
19740925,59.46907,58.51646
19741002,57.256241,54.96489
19741009,60.36097,58.667671
19741016,63.463379,61.054539
19741023,63.715881,61.72472
19741030,63.78046,64.35463
19741106,64.347321,65.042183
19741113,64.142906,64.042961
19741120,60.646729,59.544319
19741127,60.925468,61.35553
19741204,58.383369,59.17234
19741211,56.587181,59.137959
19741218,55.728588,59.200111
19741225,55.38168,58.839401
19750101,59.756378,61.44223
19750108,64.510681,61.746429
19750115,68.443932,63.799381
19750122,68.964027,63.571079
19750129,75.507523,68.182518
19750205,78.39669,69.832314
19750212,78.875267,70.793419
19750219,79.985191,71.999908
19750226,79.145866,71.071739
19750305,81.81163,73.264938
19750312,85.379959,74.043556
19750319,88.630219,74.951378
19750326,87.954933,74.315948
19750402,87.304512,73.383919
19750409,86.845352,73.66584
19750416,89.825691,76.951088
19750423,90.80407,76.673241
19750430,91.243187,77.674889
19750507,92.894386,79.390503
19750514,96.409492,82.309311
19750521,95.368362,79.804741
19750528,96.466019,80.587318
19750604,100.764999,83.297623
19750611,100.367203,81.639793
19750618,100.3302,81.641434
19750625,104.671997,85.555679
19750702,106.144699,85.225769
19750709,108.501404,86.029961
19750716,111.864403,86.117416
19750723,108.270203,82.218742
19750730,104.859001,80.798691
19750806,101.374496,78.446297
19750813,100.1213,78.204063
19750820,96.681587,75.558311
19750827,97.350098,76.760834
19750903,99.366188,78.239738
19750910,97.37709,76.189507
19750917,95.385551,74.781059
19750924,98.510612,77.911201
19751001,95.661797,75.316231
19751008,97.952408,79.57663
19751015,99.130592,80.820633
19751022,100.084503,82.051918
19751029,99.472229,80.914886
19751105,99.469528,80.902092
19751112,101.193001,82.906326
19751119,100.825401,81.971031
19751126,101.893097,82.920631
19751203,98.238358,79.803802
19751210,97.225014,80.068359
19751217,98.183144,81.087013
19751224,99.803452,81.440361
19751231,102.752602,82.265488
19760107,110.4049,85.941727
19760114,115.316299,88.872108
